काठमाडौँ	काठमाडौँ $
छाती	छाती $
दुखिरहने	दुखिरहने $
समस्या	समस्या $
भएपछि	भए पछि
बाराका	बारा का
वर्षिय	वर्षिय $
एक	एक $
विरामी	विरामी $
बाँसबारीस्थित	बाँसबारी स्थित
शहीद	शहीद $
गंगालाल	गंगालाल $
राष्ट्रिय	राष्ट्रिय $
हृदयरोग	हृदयरोग $
केन्द्रमा	केन्द्र मा
भर्ना	भर्ना $
भए	भए $
गत	गत $
जेठ	जेठ $
गते	गते $
उनको	उन को
मुटुको	मुटु को
शल्यक्रिया	शल्यक्रिया $
भयो	भयो $
शल्यक्रियाको	शल्यक्रिया को
दिनपछि	दिन पछि
अस्पतालबाट	अस्पताल बाट
डिस्चार्ज	डिस्चार्ज $
पनि	पनि $
अपरेशनपछि	अपरेशन पछि
भाइको	भाइ को
अवस्था	अवस्था $
ठीकै	ठी कै
थियो	थियो $
खाने	खाने $
बोल्ने	बोल्ने $
सुत्ने	सुत्ने $
सबै	सबै $
सामान्य	सामान्य $
बिरामीका	बिरामी का
आफन्तले	आफन्त ले
भने	भने $
दिनमै	दिन मै
छातीको	छाती को
बाहिरी	बाहिरी $
भागबाट	भाग बाट
पानी	पानी $
निस्किने	निस्किने $
थिच्दा	थिच्दा $
मुखबाट	मुख बाट
पिप	पिप $
आउने	आउने $
हुन	हुन $
थाल्यो	थाल्यो $
शल्यक्रियापछि	शल्यक्रिया पछि
हुने	हुने $
संक्रमणका	संक्रमण का
कारण	कारण $
उनलाई	उन लाई
यस्तो	यस्तो $
भएको	भए को
फलोअप	फलोअप $
उपचारबाट	उपचार बाट
पत्ता	पत्ता $
लाग्यो	लाग्यो $
संक्रमणले	संक्रमण ले
उनको	उन को
मात्रै	मात्रै $
बिग्रिएन	बिग्रिएन $
दोह्र्याएर	दोह्र्याएर $
गनुपर्ने	गनु पर्ने
हाल	हाल $
अस्पतालले	अस्पताल ले
उनको	उन को
गरिदिएको	गरिदिए को
उनी	उनी $
अहिले	अहिले $
अस्पतालको	अस्पताल को
बेडमा	बेड मा
मृत्युसँग	मृत्यु सँग
लडिरहेका	लडि रहेका
छन्	छन् $
आफन्त	आफन्त $
भन्छन्	भन्छन् $
मुटु	मुटु $
खोलेको	खोले को
बिरामी	बिरामी $
बाँच्दैन	बाँच्दैन $
डर	डर $
लागिरहेको	लागि रहेको
अस्पतालमा	अस्पताल मा
मुटुको	मुटु को
शल्यक्रियापछि	शल्यक्रिया पछि
संक्रमणका	संक्रमण का
ज्यान	ज्यान $
जोखिममा	जोखिम मा
परेका	परे का
उदाहरण	उदाहरण $
हुन्	हुन् $
संक्रमणका	संक्रमण का
बिरामीले	बिरामी ले
पोस्टअप	पोस्टअप $
वार्ड	वार्ड $
गरिएका	गरिए का
राख्ने	राख्ने $
कक्ष	कक्ष $
भरिएको	भरिए को
सफल	सफल $
भएपनि	भए पनि
कति	कति $
संक्रमणकै	संक्रमण कै
गुमाइरहेका	गुमाइ रहेका
गुणस्तरिय	गुणस्तरिय $
ढंगले	ढंग ले
नहुनुको	नहुनु को
मुख्य	मुख्य $
प्रोत्साहन	प्रोत्साहन $
भत्ता	भत्ता $
अस्पतालमा	अस्पताल मा
शल्यचिकित्सकले	शल्यचिकित्सक ले
मासिक	मासिक $
तलब	तलब $
बाहेक	बाहेक $
कार्यालय	कार्यालय $
समयमै	समय मै
काम	काम $
गरेवापत	गरेवापत $
थप	थप $
पाइरहेका	पाइ रहेका
प्रोत्साहनभत्ता	प्रोत्साहनभत्ता $
अस्पतालमा	अस्पताल मा
वरिष्ठ	वरिष्ठ $
चिकित्सक	चिकित्सक $
टिकाइराख्न	टिकाइराख्न $
उनीहरूको	उनी हरूको
निजि	निजि $
अभ्यास	अभ्यास $
रोक्नका	रोक्न का
लागि	लागि $
विस	विस $
देखि	देखि $
प्रोत्साहनभत्ताको	प्रोत्साहनभत्ता को
व्यवस्था	व्यवस्था $
गरिएको	गरिए को
नेपालको	नेपाल को
अन्य	अन्य $
कुनै	कुनै $
अस्पतालमा	अस्पताल मा
छैन	छैन $
लिएपनि	लिए पनि
उनीहरूको	उनी हरूको
नीजि	नीजि $
रोकिएको	रोकिए को
सरकारले	सरकार ले
बाथमुटुरोगको	बाथमुटुरोग को
निशुल्क	निशुल्क $
गरेसँगै	गरे सँगै
चिकित्सकले	चिकित्सक ले
सरकारी	सरकारी $
बजेटबाटै	बजेट बाटै
खाँदै	खाँदै $
आइरहेका	आइ रहेका
अस्पताल	अस्पताल $
सञ्चालक	सञ्चालक $
समितीकै	समिती कै
निणर्यमा	निणर्य मा
भएको	भए को
अनुसार	अनुसार $
शल्यक्रियामा	शल्यक्रिया मा
संलग्न	संलग्न $
रजिष्टार	रजिष्टार $
एनेस्थिेसियोलोजिस्ट	एनेस्थिेसियोलोजिस्ट $
बेहोश	बेहोश $
बनाउने	बनाउने $
कार्यसम्पादन	कार्यसम्पादन $
बरिष्ठताका	बरिष्ठता का
आधारमा	आधार मा
आइरहेका	आइ रहेका
जुन	जुन $
तलबभत्ता	तलबभत्ता $
बाहेकको	बाहेक को
हिसाब	हिसाब $
गर्दा	गर्दा $
प्रोत्साहनभत्ताको	प्रोत्साहनभत्ता को
रकम	रकम $
बढि	बढि $
देखिन्छ	देखिन्छ $
शल्यक्रियाका	शल्यक्रिया का
जति	जति $
धेरै	धेरै $
उति	उति $
प्रोत्साहनभत्ताको	प्रोत्साहनभत्ता को
बढ्छ	बढ्छ $
जुनियर	जुनियर $
चिकित्सकले	चिकित्सक ले
न्यूनतम	न्यूनतम $
हजार	हजार $
बरिष्ठ	बरिष्ठ $
चिकित्सकले	चिकित्सक ले
लाखसम्म	लाख सम्म
पाइरहेका	पाइ रहेका
लाख	लाख $
भन्दा	भन्दा $
कम	कम $
जनशक्ती	जनशक्ती $
पूर्वाधार	पूर्वाधार $
न्यून	न्यून $
बढी	बढी $
उती	उती $
संसारभर	संसार भर
दैनिक	दैनिक $
चिकित्सकले	चिकित्सक ले
एउटा	एउटा $
बिरामीको	बिरामी को
मुटुको	मुटु को
गर्ने	गर्ने $
अभ्यासलाई	अभ्यास लाई
लत्याउँदै	लत्याउँदै $
गंगालालले	गंगालाल ले
वटा	वटा $
सम्म	सम्म $
गर्दै	गर्दै $
आइरहेको	आइ रहेको
अस्पतालको	अस्पताल को
विभागमा	विभाग मा
जना	जना $
दुई	दुई $
यूनिटमा	यूनिट मा
बाँडिएका	बाँडिए का
यूनिटले	यूनिट ले
दिन	दिन $
बिराएर	बिराएर $
गरेका	गरे का
यूनिटमा	यूनिट मा
अर्कोमा	अर्को मा
जनाले	जना ले
बिरामीलाई	बिरामी लाई
प्रयाप्त	प्रयाप्त $
समय	समय $
सम्भव	सम्भव $
स्रोत	स्रोत $
भन्छ	भन्छ $
हतारमा	हतार मा
गरेकै	गरे कै
अधिकांस	अधिकांस $
बिरामीलाई	बिरामी लाई
संक्रमण	संक्रमण $
गरेको	गरे को
गरिन्छ	गरिन्छ $
गुमाउँछन्	गुमाउँछन् $
थोरै	थोरै $
पूर्वाधारकाबिच	पूर्वाधारका बिच
बिरामीको	बिरामी को
यसले	यस ले
बिरामीलाई	बिरामी लाई
घाटा	घाटा $
पुग्ने	पुग्ने $
गरेको	गरे को
चिकित्सकको	चिकित्सक को
भनाई	भनाई $
अस्पतालमा	अस्पताल मा
शल्यकक्ष	शल्यकक्ष $
चिकित्सकले	चिकित्सक ले
तिनैवटा	तिनै वटा
कक्षमा	कक्ष मा
गर्दापनि	गर्दा पनि
भ्याउन	भ्याउन $
जनाले	जना ले
बिरामीको	बिरामी को
गर्नुपर्ने	गर्नु पर्ने
हुन्छ	हुन्छ $
झन्	झन् $
चिकित्सकले	चिकित्सक ले
कसरी	कसरी $
भ्याउलान्	भ्याउलान् $
भ्याइहाले	भ्याइहा ले
त्यसपछि	त्यस पछि
व्यवस्थापन	व्यवस्थापन $
गर्नका	गर्न का
आवश्यक	आवश्यक $
पर्ने	पर्ने $
आईसीयू	आईसीयू $
नहुँदा	नहुँदा $
बिरामीले	बिरामी ले
सास्ती	सास्ती $
खेपिरहेका	खेपि रहेका
बिरामीले	बिरामी ले
आईसीयूमा	आईसीयू मा
बसेर	बसेर $
बिशेष	बिशेष $
हेरचाह	हेरचाह $
पाउँदैन	पाउँदैन $
छिटै	छिटै $
भएकै	भए कै
संक्रमणले	संक्रमण ले
घाउ	घाउ $
पाकेर	पाकेर $
धाइरहेका	धाइ रहेका
संक्रमणकै	संक्रमण कै
बिरामीको	बिरामी को
मृत्युदर	मृत्युदर $
बढेको	बढे को
भक्तपुर	भक्तपुर $
नगरपालिकाले	नगरपालिका ले
सम्पदा	सम्पदा $
संरक्षण	संरक्षण $
तथा	तथा $
विकास	विकास $
निर्माणलाई	निर्माण लाई
प्राथमिकतामा	प्राथमिकता मा
राख्दै	राख्दै $
कुल	कुल $
बजेटको	बजेट को
दशमलब	दशमलब $
प्रतिशत	प्रतिशत $
अर्थात्	अर्थात् $
करोड	करोड $
रुपैयाँ	रुपैयाँ $
छुट्याएको	छुट्याए को
भूकम्पले	भूकम्प ले
क्षतिग्रस्त	क्षतिग्रस्त $
मठमन्दिरको	मठमन्दिर को
पुनर्निर्माणलाई	पुनर्निर्माण लाई
प्राथमितामा	प्राथमिता मा
राखेर	राखेर $
बजेट	बजेट $
विनियोजन	विनियोजन $
नगरप्रमुख	नगरप्रमुख $
सुनिल	सुनिल $
प्रजापतिले	प्रजापति ले
बताए	बताए $
नगरपालिकाले	नगरपालिका ले
शिक्षालाई	शिक्षा लाई
त्यसपछिको	त्यस पछिको
प्राथमिकतामा	प्राथमिकता मा
बजेटको	बजेट को
दशमलव	दशमलव $
छुट्याएको	छुट्याए को
स्वास्थ्यका	स्वास्थ्य का
युवा	युवा $
खेलकुदका	खेलकुद का
पर्यटन	पर्यटन $
विकासका	विकास का
महोत्सवका	महोत्सव का
फोहोरमैला	फोहोरमैला $
वातावरण	वातावरण $
सुधारका	सुधार का
नगरभित्रका	नगर भित्रका
सामुदायिक	सामुदायिक $
विद्यालयहरूमा	विद्यालय हरूमा
